id,element,nucleons,library,incident_particle,mt,temperature
0,Pu,245,ENDFB-8.0,n,2,294
1,Pu,245,ENDFB-8.0,n,5,294
2,Pu,245,ENDFB-8.0,n,16,294
3,Pu,245,ENDFB-8.0,n,18,294
4,Pu,245,ENDFB-8.0,n,51,294
5,Pu,245,ENDFB-8.0,n,52,294
6,Pu,245,ENDFB-8.0,n,53,294
7,Pu,245,ENDFB-8.0,n,54,294
8,Pu,245,ENDFB-8.0,n,55,294
9,Pu,245,ENDFB-8.0,n,56,294
10,Pu,245,ENDFB-8.0,n,57,294
11,Pu,245,ENDFB-8.0,n,58,294
12,Pu,245,ENDFB-8.0,n,59,294
13,Pu,245,ENDFB-8.0,n,60,294
14,Pu,245,ENDFB-8.0,n,91,294
15,Pu,245,ENDFB-8.0,n,102,294
16,Pu,245,ENDFB-8.0,n,103,294
17,Pu,245,ENDFB-8.0,n,107,294
18,Pu,245,ENDFB-8.0,n,203,294
19,Pu,245,ENDFB-8.0,n,204,294
20,Pu,245,ENDFB-8.0,n,205,294
21,Pu,245,ENDFB-8.0,n,206,294
22,Pu,245,ENDFB-8.0,n,207,294
23,Pu,245,ENDFB-8.0,n,301,294
24,Pu,245,ENDFB-8.0,n,444,294
25,Pu,245,ENDFB-8.0,n,649,294
26,Pu,245,ENDFB-8.0,n,800,294
27,Pu,245,ENDFB-8.0,n,849,294
28,Pu,245,ENDFB-8.0,n,901,294
29,Pu,245,ENDFB-8.0,n,1,294
30,Dy,156,ENDFB-8.0,n,2,294
31,Dy,156,ENDFB-8.0,n,16,294
32,Dy,156,ENDFB-8.0,n,17,294
33,Dy,156,ENDFB-8.0,n,22,294
34,Dy,156,ENDFB-8.0,n,24,294
35,Dy,156,ENDFB-8.0,n,28,294
36,Dy,156,ENDFB-8.0,n,41,294
37,Dy,156,ENDFB-8.0,n,51,294
38,Dy,156,ENDFB-8.0,n,52,294
39,Dy,156,ENDFB-8.0,n,53,294
40,Dy,156,ENDFB-8.0,n,54,294
41,Dy,156,ENDFB-8.0,n,55,294
42,Dy,156,ENDFB-8.0,n,56,294
43,Dy,156,ENDFB-8.0,n,57,294
44,Dy,156,ENDFB-8.0,n,58,294
45,Dy,156,ENDFB-8.0,n,59,294
46,Dy,156,ENDFB-8.0,n,60,294
47,Dy,156,ENDFB-8.0,n,91,294
48,Dy,156,ENDFB-8.0,n,102,294
49,Dy,156,ENDFB-8.0,n,103,294
50,Dy,156,ENDFB-8.0,n,107,294
51,Dy,156,ENDFB-8.0,n,203,294
52,Dy,156,ENDFB-8.0,n,207,294
53,Dy,156,ENDFB-8.0,n,301,294
54,Dy,156,ENDFB-8.0,n,444,294
55,Dy,156,ENDFB-8.0,n,600,294
56,Dy,156,ENDFB-8.0,n,601,294
57,Dy,156,ENDFB-8.0,n,602,294
58,Dy,156,ENDFB-8.0,n,603,294
59,Dy,156,ENDFB-8.0,n,604,294
60,Dy,156,ENDFB-8.0,n,605,294
61,Dy,156,ENDFB-8.0,n,606,294
62,Dy,156,ENDFB-8.0,n,607,294
63,Dy,156,ENDFB-8.0,n,608,294
64,Dy,156,ENDFB-8.0,n,609,294
65,Dy,156,ENDFB-8.0,n,649,294
66,Dy,156,ENDFB-8.0,n,800,294
67,Dy,156,ENDFB-8.0,n,801,294
68,Dy,156,ENDFB-8.0,n,802,294
69,Dy,156,ENDFB-8.0,n,803,294
70,Dy,156,ENDFB-8.0,n,804,294
71,Dy,156,ENDFB-8.0,n,805,294
72,Dy,156,ENDFB-8.0,n,806,294
73,Dy,156,ENDFB-8.0,n,807,294
74,Dy,156,ENDFB-8.0,n,808,294
75,Dy,156,ENDFB-8.0,n,809,294
